Majaess 231                   ;Gem  ;07 04 06   +20 34 13  ;Op    ;OC   ;  300.00;   355; 0.020; 7.850;Zeta Gem Cl                                                                                                       ;
Mamajek 17                    ;Tau  ;05 32 30   +24 00 00  ;Op    ;OC   ;  150.00;   121; 0.025; 7.000;                                                                                                                  ;Btest members: 118 Tau (B9V + A0V) and the debris disk star HD 36546 (A0V). Older subgroup of Tau-Aur?
RSG 1                         ;Aur  ;05 02 16.8 +37 33 36  ;Op    ;OC   ;   60.00;   324; 0.240; 8.100;Alessi 96 ?                                                                                                       ;Röser et al 2016
RSG 2                         ;Lyn  ;07 22 16.8 +54 48 36  ;Op    ;OC   ;  360.00;   200; 0.040; 8.100;Alessi 84                                                                                                         ;Röser et al 2016
RSG 3                         ;Hya  ;08 24 28.8 -08 48 36  ;Op    ;OC   ;  315.00;   437; 0.010; 9.000;Alessi-Teutsch 4 ?                                                                                                ;Röser et al 2016
Teutsch 184                   ;Per  ;03 23 03   +44 47 24  ;Op    ;OC?  ;   22.00;      ;      ;      ;                                                                                                                  ;
Teutsch 185                   ;Per  ;03 52 46   +45 57 30  ;Op    ;OC?  ;   33.00;      ;      ;      ;                                                                                                                  ;
Teutsch 187                   ;Mon  ;06 41 18   -05 51 30  ;Op    ;OC?  ;   30.00;      ;      ;      ;                                                                                                                  ;
Teutsch 188                   ;CMi  ;07 20 46   +03 31 16  ;Op    ;OC?  ;   91.00;      ;      ;      ;                                                                                                                  ;
Teutsch 190                   ;Pup  ;07 57 12   -43 21 00  ;Op    ;OC?  ;   80.00;      ;      ;      ;                                                                                                                  ;
Teutsch 191                   ;Pup  ;08 18 17   -26 58 48  ;Op    ;OC?  ;   33.00;      ;      ;      ;                                                                                                                  ;
Teutsch 194                   ;Sco  ;16 38 30   -39 29 48  ;Op    ;OC?  ;  119.00;      ;      ;      ;                                                                                                                  ;
Teutsch 196                   ;Sge  ;19 48 12   +18 59 30  ;Op    ;OC?  ;   24.00;      ;      ;      ;                                                                                                                  ;
Teutsch 197                   ;Cep  ;22 12 20   +53 54 30  ;Op    ;OC?  ;   26.00;      ;      ;      ;                                                                                                                  ;
Teutsch 198                   ;Lac  ;22 56 20   +51 06 30  ;Op    ;OC?  ;   15.00;      ;      ;      ;                                                                                                                  ;
Teutsch 33                    ;Pup  ;07 59 54   -49 00 00  ;Op    ;OC?  ;   80.00;      ;      ;      ;                                                                                                                  ;
Alessi-Teutsch 4              ;Hya  ;08 24 08   -08 24 26  ;Op    ;OC/**;   43.00;      ;      ;      ;Alessi 26                                                                                                         ;
Alessi 90                     ;Tau  ;05 45 05   +18 45 39  ;Op    ;OC/**;   31.00;      ;      ;      ;EU Tau group                                                                                                      ;
Alessi 94                     ;And  ;00 19 56   +46 24 03  ;Op    ;OC/**;   42.00;      ;      ;      ;                                                                                                                  ;
Mamajek 8                     ;Cas  ;23 30 02   +58 32 56  ;Op    ;OC   ;    3.00;   190;      ;      ;AR Cas Cl                                                                                                         ;There appears to be at least ~10 co-moving stars, i.e. AR Cas is more populous than just a higher order multiple. Dist based on revised HIP parallax for AR Cas = HIP 115990
Skiff J1053-6435              ;Car  ;10 53 00   -64 35 00  ;Op    ;OC/**;   20.00;      ;      ;      ;A1053-6435                                                                                                        ;
Escorial 2                    ;Ori  ;05 00 59.0 +03 38 46  ;Op    ;OC?  ;   85.00;   327;      ;      ;V1360 Ori Cl                                                                                                      ;
Alessi 150                    ;Per  ;04 37 48   +41 45 32  ;Op    ;OC/**;   23.00;      ;      ;      ;                                                                                                                  ;
Alessi 174                    ;Mon  ;07 06 03   -09 28 30  ;Op    ;OC/**;   12.00;      ;      ;      ;Rouault 7, Santa 75                                                                                               ;
Alessi 175                    ;Mon  ;07 15 53   -00 42 54  ;Op    ;OC/**;   28.00;      ;      ;      ;                                                                                                                  ;
Alessi 100                    ;Aur  ;05 47 53   +35 14 28  ;Op    ;OC/**;   22.00;      ;      ;      ;                                                                                                                  ;
Alessi 102                    ;Per  ;04 18 47   +46 26 16  ;Op    ;OC/**;   42.00;      ;      ;      ;                                                                                                                  ;
Alessi 190                    ;Nor  ;15 55 45   -47 33 15  ;Op    ;OC/**;   38.00;      ;      ;      ;                                                                                                                  ;
Alessi 196                    ;Ori  ;05 06 28   -03 23 03  ;Op    ;OC/**;   60.00;      ;      ;      ;                                                                                                                  ;


-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Alessi 126                    ;Nor  ;15 39 31   -48 29 54  ;Op    ;OC/**;   18.00;      ;      ;      ;                                                                                                                  ;
Alessi 134                    ;Cam  ;05 08 46   +57 24 06  ;Op    ;OC/**;   60.00;      ;      ;      ;                                                                                                                  ;
Alessi 145                    ;CMi  ;08 04 43   +04 18 12  ;Op    ;OC/**;   60.00;      ;      ;      ;                                                                                                                  ;
Alessi 146                    ;Car  ;10 11 27   -59 55 05  ;Op    ;OC/**;   30.00;      ;      ;      ;                                                                                                                  ;
Alessi 148                    ;Mon  ;06 57 07   +08 33 36  ;Op    ;OC/**;   45.00;      ;      ;      ;                                                                                                                  ;
Alessi 163                    ;Mus  ;11 20 00   -71 56 18  ;Op    ;OB   ;  300.00;      ;      ;      ;HIP 55350 assoc                                                                                                   ;
Alessi 164                    ;Mus  ;12 28 42   -70 42 09  ;Op    ;OC/**;   40.00;      ;      ;      ;                                                                                                                  ;
Alessi 168                    ;Aql  ;19 40 06   +12 18 13  ;Op    ;OC/**;   70.00;      ;      ;      ;                                                                                                                  ;
Alessi 172                    ;Vel  ;08 43 41   -46 00 56  ;Op    ;OC/**;   19.00;      ;      ;      ;                                                                                                                  ;
Alessi 176                    ;Mon  ;07 25 17   -00 45 42  ;Op    ;OC/**;   34.00;      ;      ;      ;                                                                                                                  ;
Alessi 101                    ;Cen  ;13 44 44   -49 49 27  ;Op    ;OC/**;   38.00;      ;      ;      ;                                                                                                                  ;
Alessi 125                    ;Cen  ;14 26 57   -62 26 14  ;Op    ;OC/**;   36.00;      ;      ;      ;                                                                                                                  ;
Alessi 173                    ;Mon  ;06 49 09   +00 37 24  ;Op    ;OC/**;   40.00;      ;      ;      ;                                                                                                                  ;
Alessi 177                    ;Mon  ;07 27 49   -01 29 42  ;Op    ;OC/**;   64.00;      ;      ;      ;                                                                                                                  ;
Alessi 179                    ;Pup  ;08 02 17   -18 54 00  ;Op    ;OC/**;   32.00;      ;      ;      ;TC 0802-1854, HD 66271 Group                                                                                      ;

Alessi 169                    ;Lac  ;22 05 40   +44 52 04  ;Op    ;OC/**;  160.00;      ;      ;      ;                                                                                                                  ;
Alessi 170                    ;Mon  ;06 41 53   -05 13 18  ;Op    ;OC/**;   24.00;      ;      ;      ;                                                                                                                  ;
Alessi 180                    ;Pup  ;08 09 53   -19 40 12  ;Op    ;OC/**;   60.00;      ;      ;      ;                                                                                                                  ;
Alessi 181                    ;Aql  ;19 17 48   +16 09 06  ;Op    ;OC/**;   80.00;      ;      ;      ;                                                                                                                  ;
Alessi 192                    ;Pup  ;07 31 55   -20 22 23  ;Op    ;OC/**;   38.00;      ;      ;      ;                                                                                                                  ;
Alessi 194                    ;Car  ;10 31 07   -64 10 55  ;Op    ;OC/**;   80.00;      ;      ;      ;                                                                                                                  ;
Alessi 195                    ;Car  ;10 48 00   -61 59 48  ;Op    ;OC/**;   30.00;      ;      ;      ;                                                                                                                  ;
   Alessi 198                    ;Cas  ;01 13 22   +49 16 50  ;Op    ;OC/**;  200.00;      ;      ;      ;                                                                                                                  ;
   Alessi 199                    ;Sge  ;18 59 09   +20 18 42  ;Op    ;OC/**;  120.00;      ;      ;      ;                                                                                                                  ;
   Alessi 200                    ;Vul  ;19 20 11   +22 37 06  ;Op    ;OC/**;  100.00;      ;      ;      ;                                                                                                                  ;
Alessi 201                    ;Aql  ;19 38 17   +15 52 01  ;Op    ;OC/**;   40.00;      ;      ;      ;                                                                                                                  ;
