NGC 2353                      ;Mon  ;07 14 30.5 -10 15 00.0;Op    ;OC   ;   26.40;  1180; 0.130; 7.200;MWSC 1152, Escorial 16                                                                                            ;
FSR 1180                      ;Mon  ;07 15 41.3 -09 24 36.0;IR    ;OC   ;   18.60;  1000; 0.000; 8.680;MWSC 1155                                                                                                         ;
NGC 2355                      ;Gem  ;07 16 59.0 +13 45 00.0;Op    ;OC   ;   22.80;  2128; 0.190; 8.900;MWSC 1160                                                                                                         ;
Basel 11 A                    ;CMa  ;07 17 06.7 -13 58 55.2;Op    ;OC   ;   25.20;  1537; 0.210; 7.420;MWSC 1162                                                                                                         ;
FSR 1228                      ;CMa  ;07 17 11.3 -15 47 42.0;IR    ;OC   ;   15.00;  4186; 0.690; 6.750;MWSC 1163                                                                                                         ;
Haffner 5                     ;CMa  ;07 17 58.1 -22 40 01.2;Op    ;OC   ;   20.40;  2069; 0.690; 8.600;MWSC 1168                                                                                                         ;
NGC 2367                      ;CMa  ;07 20 13.2 -21 51 54.0;Op    ;OC   ;   22.80;  1772; 0.330; 7.430;MWSC 1178                                                                                                         ;
NGC 2364                      ;Mon  ;07 20 46.0 -07 33 00.0;Op    ;OC   ;   13.00;  1919; 0.310; 8.300;MWSC 1181                                                                                                         ;
FSR 1255                      ;CMa  ;07 20 50.9 -19 37 55.2;IR    ;OC   ;   16.20;  1023; 0.000; 8.500;MWSC 1183                                                                                                         ;
Haffner 7                     ;CMa  ;07 22 55.9 -29 29 24.0;Op    ;OC   ;   18.60;  1893; 0.350; 9.000;MWSC 1197, BH 1                                                                                                   ;
Haffner 8                     ;CMa  ;07 23 10.3 -12 18 28.8;Op    ;OCR  ;   19.20;  1197; 0.030; 9.040;MWSC 1200                                                                                                         ;Very sparse
Ruprecht 17                   ;CMa  ;07 23 37.7 -23 11 06.0;Op    ;OC   ;   12.60;  1263; 0.290; 8.330;MWSC 1202                                                                                                         ;
NGC 2374                      ;CMa  ;07 24 00.0 -13 16 12.0;Op    ;OC   ;   26.40;  1394; 0.090; 8.750;MWSC 1206                                                                                                         ;
FSR 1297                      ;CMa  ;07 23 58.1 -25 54 00  ;IR    ;OC   ;   15.60;  3654; 1.670; 6.700;MWSC 1207, Majaess 88                                                                                             ;
NGC 2383                      ;CMa  ;07 24 41.3 -20 56 24.0;Op    ;OC   ;   15.00;  1655; 0.210; 8.690;MWSC 1213                                                                                                         ;
Haffner 9                     ;CMa  ;07 24 42.0 -17 00 00.0;Op    ;OC   ;   11.40;  1797; 0.550; 8.150;MWSC 1214                                                                                                         ;
FSR 1283                      ;CMa  ;07 24 54.0 -23 52 15.6;IR    ;OC   ;   13.20;  4192; 0.900; 6.800;MWSC 1215                                                                                                         ;
NGC 2384                      ;CMa  ;07 25 08.4 -21 01 12.0;Op    ;OC   ;   19.80;  2074; 0.400; 7.130;MWSC 1216, Collinder 143                                                                                          ;
Waterloo 7                    ;CMa  ;07 26 07.7 -15 05 34.8;Op    ;OC   ;   25.20;  2932; 0.350; 8.530;MWSC 1220                                                                                                         ;
FSR 1253                      ;CMa  ;07 26 16.8 -18 26 42.0;IR    ;OC   ;   24.60;  2283; 0.650; 8.640;MWSC 1221, SAI 76                                                                                                 ;
Melotte 66                    ;Pup  ;07 26 12.0 -47 40 04.8;Op    ;OC   ;   24.60;  4487; 0.130; 9.370;MWSC 1222                                                                                                         ;
NGC 2395                      ;Gem  ;07 27 05.8 +13 35 02.4;Op    ;OCR  ;   16.80;  1209; 0.270; 9.280;MWSC 1228                                                                                                         ;Very sparse
Trumpler 7                    ;Pup  ;07 27 18.0 -23 57 36.0;Op    ;OC   ;   21.60;  1659; 0.310; 8.000;MWSC 1229                                                                                                         ;
FSR 1275                      ;Pup  ;07 28 02.9 -21 47 24.0;IR    ;OC   ;   22.80;  4541; 0.670; 9.400;MWSC 1233, SAI 77                                                                                                 ;
FSR 1260                      ;Pup  ;07 28 26.4 -19 40 48.0;IR    ;OC   ;   16.80;  1409; 0.250; 8.300;MWSC 1235                                                                                                         ;
NGC 2401                      ;Pup  ;07 29 24.2 -13 58 19.2;Op    ;OC   ;   10.80;  3778; 0.350; 7.000;MWSC 1241                                                                                                         ;
Mayer 3                       ;Pup  ;07 30 07.2 -18 32 06.0;IR    ;OC   ;   15.00;  2731; 0.990; 8.240;MWSC 1244, [DBSB2003] 5                                                                                           ;
Dolidze 26                    ;CMi  ;07 30 04.6 +11 53 06.0;Op    ;OC   ;   25.20;  2070; 0.380; 8.480;MWSC 1246                                                                                                         ;
[FM80] 1                      ;Pup  ;07 30 12   -15 49 24  ;Op    ;OC   ;   12.00;  2500;      ;      ;MWSC 1247, Waterloo 8                                                                                             ;
Bochum 5                      ;Pup  ;07 31 04.8 -16 54 54.0;Op    ;OCR  ;   10.20;  1775; 0.420; 7.400;MWSC 1251                                                                                                         ;Very sparse, poor
Ruprecht 24                   ;Pup  ;07 31 55.2 -12 45 54.0;Op    ;OC   ;   20.40;  1706; 0.130; 8.650;MWSC 1257                                                                                                         ;
Bochum 6                      ;Pup  ;07 31 56   -19 25 48  ;Op    ;OC   ;   10.00;  2500; 0.710; 7.000;MWSC 1258                                                                                                         ;
NGC 2413                      ;Pup  ;07 33 03.6 -12 59 24.0;Op    ;OC   ;   22.20;  1341; 0.040; 8.660;MWSC 1262                                                                                                         ;
NGC 2414                      ;Pup  ;07 33 08.9 -15 27 18.0;Op    ;OC   ;   16.80;  2874; 0.580; 7.270;MWSC 1263                                                                                                         ;
FSR 1264                      ;Pup  ;07 33 44.9 -19 48 39.6;IR    ;OC   ;   12.60;  1215; 0.210; 8.620;MWSC 1267                                                                                                         ;
FSR 1243                      ;Pup  ;07 34 31.0 -15 56 06.0;IR    ;OC   ;   15.60;  4336; 0.670; 6.700;MWSC 1269                                                                                                         ;
NGC 2421                      ;Pup  ;07 36 14.4 -20 36 36.0;Op    ;OC   ;   19.20;  2178; 0.460; 7.450;MWSC 1277                                                                                                         ;
Ruprecht 26                   ;Pup  ;07 37 10.1 -15 39 36.0;Op    ;OC   ;   25.20;  1456; 0.260; 7.800;MWSC 1285                                                                                                         ;
NGC 2425                      ;Pup  ;07 38 14.9 -14 52 48.0;Op    ;OC   ;   19.20;  4330; 0.210; 9.340;MWSC 1291, Haffner 12                                                                                             ;
Melotte 72                    ;Mon  ;07 38 28.6 -10 42 00.0;Op    ;OC   ;   26.40;  3963; 0.230; 8.870;MWSC 1293                                                                                                         ;
NGC 2428                      ;Pup  ;07 39 19.7 -16 31 04.8;Op    ;OC   ;   15.00;  1406; 0.190; 8.620;MWSC 1297                                                                                                         ;
Bochum 15                     ;Pup  ;07 40 10.1 -33 32 24.0;Op    ;OC   ;   10.20;  2420; 0.560; 6.670;MWSC 1301, [DBSB2003] 15                                                                                          ;
Ruprecht 151                  ;Pup  ;07 41 16.8 -16 17 24.0;Op    ;OC   ;   18.00;  1490; 0.420; 8.150;MWSC 1309                                                                                                         ;
NGC 2432                      ;Pup  ;07 40 54.0 -19 05 06.0;Op    ;OC   ;   19.20;  1589; 0.290; 8.650;MWSC 1310, FSR 1267                                                                                               ;
FSR 1145                      ;Mon  ;07 42 31.0 -01 02 13.2;IR    ;OC   ;   19.80;  1292; 0.480; 7.900;MWSC 1316                                                                                                         ;
FSR 1220                      ;Mon  ;07 43 42.5 -11 01 48.0;IR    ;OCR? ;   20.40;  1410; 0.420; 8.570;MWSC 1318                                                                                                         ;
ESO 368-11                    ;Pup  ;07 44 24.0 -34 37 37.2;Op    ;OC   ;   19.80;  1245; 0.070; 8.950;MWSC 1320, FSR 1353                                                                                               ;
NGC 2448                      ;Pup  ;07 44 34.1 -24 39 54.0;Op    ;OC   ;   21.60;  1040; 0.020; 7.250;MWSC 1323                                                                                                         ;
Haffner 15                    ;Pup  ;07 45 31.7 -32 50 52.8;Op    ;OC   ;   17.40;  2237; 1.090; 7.280;MWSC 1328                                                                                                         ;
ESO 258-1                     ;Pup  ;07 45 37.7 -46 42 36.0;Op    ;OCR? ;   12.60;  1031; 0.730; 8.710;MWSC 1329                                                                                                         ;Sparse, poor RDP
FSR 1064                      ;CMi  ;07 47 54.5 +08 52 48.0;IR    ;OC   ;   21.60;  2669; 0.830; 8.030;MWSC 1342                                                                                                         ;
NGC 2455                      ;Pup  ;07 49 01.9 -21 17 31.2;Op    ;OC   ;   16.80;  1711; 0.100; 8.720;MWSC 1350                                                                                                         ;
SAI 82                        ;Pup  ;07 52 13.4 -33 02 24.0;Op    ;OC   ;   13.20;  1436; 0.670; 8.650;MWSC 1366                                                                                                         ;
NGC 2467                      ;Pup  ;07 52 18.5 -26 25 40.8;Op    ;OC   ;   11.40;  1313; 0.340; 8.100;MWSC 1367                                                                                                         ;
NGC 2479                      ;Pup  ;07 55 08.4 -17 43 48.0;Op    ;OC   ;   28.80;  1363; 0.080; 9.020;MWSC 1380, Trumpler 8                                                                                             ;
NGC 2482                      ;Pup  ;07 55 10.1 -24 16 30.0;Op    ;OC   ;   25.20;  1344; 0.090; 8.510;MWSC 1382                                                                                                         ;
NGC 2483                      ;Pup  ;07 55 40.8 -27 54 18.0;Op    ;OC   ;   13.80;  1649; 0.350; 7.600;MWSC 1383                                                                                                         ;
