Cluster's Name                ;Const;Coordinates (J2000.0) ;Wavel ;Type ;Dia_arcM;Dst_pc;E(B-V);Log_t ;Aliases/Variants                                                                                                  ;Comments
NGC 2301                      ;Mon  ;06 51 46.8 +00 27 54.0;Op    ;OC   ;   31.20;   805; 0.060; 8.350;MWSC 1000                                                                                                         ;
ASCC 27                       ;Mon  ;06 53 56.4 -04 23 24.0;Op    ;OC   ;   28.80;  1159; 0.090; 8.700;MWSC 1009                                                                                                         ;
Cas OB1                       ;Cas  ;01 00 14.4 +61 27 36.0;Op    ;OB   ;   72.00;  3000; 2.250; 7.030;MWSC 101                                                                                                          ;
ASCC 28                       ;Mon  ;06 54 18.0 +00 09 00.0;Op    ;OC   ;   32.40;   946; 0.060; 8.490;MWSC 1011                                                                                                         ;
ASCC 29                       ;Mon  ;06 54 19.7 -01 41 24.0;Op    ;OC   ;   25.20;   826; 0.050; 8.060;MWSC 1013                                                                                                         ;
Collinder 121                 ;CMa  ;06 54 34.1 -24 19 30.0;Op    ;OB   ;   57.00;  1096; 0.060; 7.080;MWSC 1018                                                                                                         ;
NGC 366                       ;Cas  ;01 06 32.4 +62 13 26.4;Op    ;OC   ;   19.20;  2200; 1.000; 7.900;MWSC 102                                                                                                          ;
ASCC 30                       ;Mon  ;06 57 01.7 -06 12 54.0;Op    ;OC   ;   18.00;   814; 0.150; 8.250;MWSC 1028, Alessi 35                                                                                              ;
Alessi 55                     ;Mon  ;06 58 12   +00 52 07  ;Op    ;OC   ;   18.00;  1753; 0.560; 8.370;MWSC 1038, FSR 1080                                                                                               ;
Mon OB3                       ;Mon  ;06 58 37.2 -04 20 06.0;Op    ;OB   ;   31.20;  2120; 0.830; 7.940;MWSC 1039                                                                                                         ;Very sparse, poor RDP
NGC 381                       ;Cas  ;01 08 25.7 +61 34 44.4;Op    ;OC   ;   21.60;  1200; 0.340; 8.850;MWSC 105, Santa 103                                                                                               ;
NGC 2319                      ;Mon  ;07 00 41.0 +03 02 06.0;Op    ;OC   ;   19.80;   985; 0.100; 9.040;MWSC 1064                                                                                                         ;
ASCC 31                       ;Mon  ;07 01 04.8 +03 31 48.0;Op    ;OC   ;   20.40;   747; 0.100; 8.400;MWSC 1066                                                                                                         ;
ASCC 32                       ;CMa  ;07 02 06.0 -26 33 36.0;Op    ;OC   ;   39.00;   767; 0.080; 8.220;MWSC 1069, Alessi 33                                                                                              ;
Alessi 60                     ;Mon  ;07 02 30.0 -01 07 01.2;Op    ;OC   ;   12.00;  2610; 0.210; 8.640;MWSC 1071                                                                                                         ;
NGC 2323                      ;Mon  ;07 02 43.0 -08 22 12.0;Op    ;OC   ;   55.20;   902; 0.230; 8.260;MWSC 1072, M 50                                                                                                   ;
ASCC 33                       ;CMa  ;07 03 44.9 -25 03 18.0;Op    ;OC   ;   62.40;   704; 0.040; 7.700;MWSC 1077                                                                                                         ;
Stock 3                       ;Cas  ;01 12 08.9 +62 15 28.8;Op    ;OC   ;   13.20;  1363; 0.710; 7.850;MWSC 108                                                                                                          ;
van den Bergh 92              ;CMa  ;07 04 04.8 -11 31 48.0;Op    ;OC   ;   30.00;  1570; 0.380; 7.360;MWSC 1080, FSR 1188                                                                                               ;
NGC 2324                      ;Mon  ;07 04 10.1 +01 02 16.8;Op    ;OC   ;   33.00;  3842; 0.240; 8.680;MWSC 1084                                                                                                         ;
[PLK98] 1                     ;Psc  ;01 12 54.0 +32 03 00  ;Op    ;OC   ;  158.40;   190; 0.050; 8.310;MWSC 109, Platais 2                                                                                               ;
NGC 433                       ;Cas  ;01 15 12.2 +60 07 22.8;Op    ;OC   ;   16.80;  1650; 0.600; 7.810;MWSC 110, Stock 22                                                                                                ;
NGC 2335                      ;Mon  ;07 06 50.4 -10 01 48.0;Op    ;OC   ;   37.20;  1411; 0.420; 8.200;MWSC 1100                                                                                                         ;
Collinder 466                 ;Mon  ;07 06 56.2 -10 43 12.0;Op    ;OC   ;   11.40;  1037; 0.060; 8.410;MWSC 1102                                                                                                         ;
CMa OB1 B                     ;CMa  ;07 08 24   -12 17 00  ;Op    ;OB   ;   84.00;  1300;      ;      ;MWSC 1106                                                                                                         ;
CMa OB1 A                     ;Mon  ;07 04 06   -11 01 00  ;Op    ;OB   ;   72.00;   750;      ;      ;MWSC 1106                                                                                                         ;
NGC 436                       ;Cas  ;01 15 59.0 +58 48 39.6;Op    ;OC   ;   18.60;  3000; 0.460; 7.930;MWSC 111                                                                                                          ;
ASCC 34                       ;CMi  ;07 10 37.2 +06 04 48.0;Op    ;OC   ;   24.60;   477; 0.020; 8.530;MWSC 1134                                                                                                         ;
Alessi 21                     ;Mon  ;07 10 40.8 -09 18 00.0;Op    ;OC   ;   38.40;   596; 0.070; 7.700;MWSC 1137, COCD 125                                                                                               ;
NGC 457                       ;Cas  ;01 19 37.2 +58 16 48.0;Op    ;OC   ;   26.40;  2400; 0.400; 7.380;MWSC 114                                                                                                          ;
ASCC 35                       ;CMi  ;07 12 41.3 +02 06 18.0;Op    ;OC   ;   28.20;   787; 0.060; 8.480;MWSC 1141                                                                                                         ;
Collinder 132                 ;CMa  ;07 13 26.4 -30 58 30.0;Op    ;OC   ;   37.20;   330; 0.020; 7.510;MWSC 1147                                                                                                         ;
ASCC 36                       ;CMa  ;07 14 30.0 -21 07 22.8;Op    ;OC   ;   30.00;   813; 0.000; 8.330;MWSC 1151                                                                                                         ;
Alessi 3                      ;Pup  ;07 16 12.0 -46 37 01.2;Op    ;OC   ;   52.80;   311; 0.110; 8.870;MWSC 1157, COCD 129                                                                                               ;
NGC 2358                      ;CMa  ;07 17 00.5 -17 09 18.0;Op    ;OC   ;   36.00;   739; 0.020; 8.790;MWSC 1159                                                                                                         ;
NGC 2360                      ;CMa  ;07 17 42.0 -15 38 24.0;Op    ;OC   ;   36.00;  1560; 0.420; 8.650;MWSC 1165                                                                                                         ;
Collinder 135                 ;Pup  ;07 17 56.4 -37 02 06.0;Op    ;OC   ;   62.40;   361; 0.040; 7.600;MWSC 1166                                                                                                         ;
ASCC 37                       ;CMa  ;07 18 03.6 -24 30 00.0;Op    ;OC   ;   19.20;  1571; 0.130; 8.730;MWSC 1169                                                                                                         ;
NGC 2362                      ;CMa  ;07 18 43.2 -24 57 36.0;Op    ;OC   ;   31.20;  1375; 0.170; 6.640;MWSC 1173, Tau CMa Cl, Escorial 18                                                                                ;
FSR 1157                      ;Mon  ;07 22 37.2 -05 06 54.0;IR    ;OC   ;   10.80;   926; 0.830; 7.700;MWSC 1194                                                                                                         ;
FSR 1470                      ;Car  ;07 22 48.0 -59 11 56.4;IR    ;OC   ;   21.00;  1055; 0.420; 8.630;MWSC 1196                                                                                                         ;
Collinder 140                 ;CMa  ;07 24 07.2 -31 53 24.0;Op    ;OC   ;   58.80;   386; 0.050; 7.700;MWSC 1199                                                                                                         ;
NGC 7826                      ;Cet  ;00 05 17.0 -20 41 30.1;Op    ;OC   ;   20.00;   620; 0.030; 9.340;MWSC 12                                                                                                           ;
FSR 1293                      ;CMa  ;07 23 55.9 -25 21 32.4;IR    ;OC   ;    9.60;   962; 1.200; 9.010;MWSC 1205                                                                                                         ;
NGC 559                       ;Cas  ;01 29 31.2 +63 18 07.2;Op    ;OC   ;   36.00;  2200; 0.600; 8.800;MWSC 122                                                                                                          ;
ASCC 38                       ;Mon  ;07 27 00.0 -05 32 42.0;Op    ;OC   ;   29.40;   569; 0.070; 8.600;MWSC 1227                                                                                                         ;
NGC 2396                      ;Pup  ;07 28 06.5 -11 44 24.0;Op    ;OCR  ;   24.00;   545; 0.050; 8.520;MWSC 1232, Haffner 24                                                                                             ;
NGC 2394                      ;CMi  ;07 28 36.0 +07 05 12.1;Op    ;OC   ;    8.00;   940; 0.130; 8.950;MWSC 1236                                                                                                         ;
NGC 581                       ;Cas  ;01 33 15.8 +60 39 07.2;Op    ;OC   ;   20.40;  2199; 0.330; 7.440;MWSC 124, M 103                                                                                                   ;
NGC 2409                      ;Pup  ;07 31 37.2 -17 11 24.0;Op    ;OC   ;   22.80;   870; 0.210; 8.410;MWSC 1254, Bochum 4                                                                                               ;
ASCC 39                       ;Pup  ;07 33 16.1 -22 57 00.0;Op    ;OC   ;   31.20;  1609; 0.210; 8.710;MWSC 1261                                                                                                         ;
ASCC 40                       ;Pup  ;07 33 39.6 -13 45 54.0;Op    ;OC   ;   18.60;  3113; 0.420; 8.800;MWSC 1266                                                                                                         ;
FSR 1268                      ;Pup  ;07 35 44.2 -19 46 44.4;IR    ;OC   ;   12.00;   974; 0.020; 8.620;MWSC 1276                                                                                                         ;
NGC 2422                      ;Pup  ;07 36 39.6 -14 29 24.0;Op    ;OC   ;   75.60;   471; 0.100; 8.120;MWSC 1278, M 47, NGC 2478, Escorial 21                                                                            ;
NGC 2423                      ;Pup  ;07 37 06.5 -13 51 00.0;Op    ;OC   ;   54.00;   824; 0.060; 9.030;MWSC 1283                                                                                                         ;
Ruprecht 27                   ;Pup  ;07 37 41.5 -26 30 25.2;Op    ;OC   ;   28.20;   576; 0.150; 8.410;MWSC 1286, FSR 1305                                                                                               ;
Melotte 71                    ;Pup  ;07 37 33.6 -12 03 18.0;Op    ;OC   ;   40.80;  2473; 0.100; 8.980;MWSC 1287, Wilk's Cl, Collinder 155                                                                               ;
NGC 2420                      ;Gem  ;07 38 22.8 +21 34 01.2;Op    ;OC   ;   36.60;  2880; 0.010; 9.370;MWSC 1292                                                                                                         ;
Collinder 464                 ;Cam  ;05 12 39   +73 58 29  ;Op    ;OC?  ;  120.00;      ;      ;      ;MWSC 1295                                                                                                         ;
NGC 2430                      ;Pup  ;07 39 39.8 -16 22 48.0;Op    ;OC   ;   18.00;   707; 0.170; 7.700;MWSC 1298                                                                                                         ;
NGC 2408                      ;Cam  ;07 40 09.0 +71 39 18.0;Op    ;OCR? ;   28.00;  1133; 0.030; 9.480;MWSC 1303                                                                                                         ;
Haffner 13                    ;Pup  ;07 40 28.1 -30 02 34.8;Op    ;OC   ;   39.00;   714; 0.050; 7.520;MWSC 1305                                                                                                         ;
NGC 2439                      ;Pup  ;07 40 48.0 -31 42 18.0;Op    ;OC   ;   32.40;  3834; 0.440; 7.250;MWSC 1306                                                                                                         ;
NGC 2451 A                    ;Pup  ;07 41 20.4 -38 31 12.0;Op    ;OC   ;  156.00;   188; 0.000; 7.760;MWSC 1308, Puppis Moving Group, PMG 1                                                                             ;
NGC 2437                      ;Pup  ;07 41 49.2 -14 48 18.0;Op    ;OC   ;   68.40;  1375; 0.150; 8.350;MWSC 1313, M 46                                                                                                   ;
Ruprecht 31                   ;Pup  ;07 42 59.3 -35 35 34.8;Op    ;OCR  ;   13.20;   541; 0.100; 8.650;MWSC 1317                                                                                                         ;
NGC 2451 B                    ;Pup  ;07 44 27.6 -37 40 12.0;Op    ;OC   ;   49.20;   489; 0.170; 8.230;MWSC 1322, PMG 2                                                                                                  ;
NGC 2447                      ;Pup  ;07 44 34.8 -23 51 36.0;Op    ;OC   ;   60.00;  1037; 0.050; 8.680;MWSC 1324, M 93                                                                                                   ;
NGC 637                       ;Cas  ;01 43 06.5 +64 02 42.0;Op    ;OC   ;   17.40;  2304; 0.580; 6.740;MWSC 133                                                                                                          ;
Ruprecht 34                   ;Pup  ;07 45 56.9 -20 23 06.0;Op    ;OC   ;   15.00;   893; 0.150; 9.100;MWSC 1330, Berkeley 38                                                                                            ;
Herschel 1                    ;CMi  ;07 46 58.8 +00 01 12.0;Op    ;OC   ;   31.20;   397; 0.020; 8.700;MWSC 1337, ASCC 41                                                                                                ;
NGC 657                       ;Cas  ;01 43 23.8 +55 50 24.0;Op    ;OC   ;   11.40;  1934; 0.520; 9.000;MWSC 135                                                                                                          ;
Cas OB8                       ;Cas  ;01 45 14   +61 14 40  ;Op    ;OB   ;   90.00;  1770;      ;      ;MWSC 136                                                                                                          ;Large multicenter association
NGC 2477                      ;Pup  ;07 52 08.4 -38 31 48.0;Op    ;OC   ;   54.00;  1450; 0.290; 8.920;MWSC 1363                                                                                                         ;
ESO 123-26                    ;Car  ;07 52 12.0 -60 20 24.0;Op    ;OC   ;   24.00;   816; 0.130; 8.530;MWSC 1364                                                                                                         ;
Pup OB1                       ;Pup  ;07 53 54   -27 56 30  ;Op    ;OB   ;  240.00;      ;      ;      ;MWSC 1369                                                                                                         ;Large multicenter association
NGC 654                       ;Cas  ;01 43 58.8 +61 54 00  ;Op    ;OC   ;   19.20;  1786; 0.750; 7.250;MWSC 137                                                                                                          ;
ASCC 42                       ;Car  ;07 52 33.6 -52 59 42.0;Op    ;OC   ;   25.20;   792; 0.170; 8.150;MWSC 1373, Alessi-Teutsch 3, Alessi 30, Ferrero 52                                                                ;
ASCC 43                       ;Pup  ;07 53 04.1 -28 10 30.0;Op    ;OC   ;   25.20;  1005; 0.060; 8.220;MWSC 1374                                                                                                         ;
NGC 659                       ;Cas  ;01 44 22.1 +60 40 12.0;Op    ;OC   ;   18.60;  2300; 0.650; 7.760;MWSC 138                                                                                                          ;
NGC 663                       ;Cas  ;01 46 12.0 +61 13 30.0;Op    ;OC   ;   28.80;  2100; 0.700; 7.500;MWSC 139                                                                                                          ;
NGC 2516                      ;Car  ;07 57 57.6 -60 45 00.0;Op    ;OC   ;   85.20;   373; 0.070; 8.480;MWSC 1393                                                                                                         ;
Collinder 463                 ;Cas  ;01 49 12.0 +71 46 48.0;Op    ;OC   ;   61.20;   800; 0.300; 8.450;MWSC 140                                                                                                          ;
Ruprecht 43                   ;Pup  ;07 59 16.8 -28 52 12.0;Op    ;OC   ;   18.60;   970; 0.210; 8.400;MWSC 1401                                                                                                         ;
NGC 2506                      ;Mon  ;08 00 00.0 -10 45 36.0;Op    ;OC   ;   32.40;  3526; 0.040; 9.210;MWSC 1406                                                                                                         ;
ASCC 6                        ;Cas  ;01 47 16.8 +57 40 48.0;Op    ;OC   ;   22.80;  1350; 0.300; 7.800;MWSC 141                                                                                                          ;
ASCC 44                       ;Pup  ;08 01 55.2 -50 34 48.0;Op    ;OC   ;   28.80;   553; 0.270; 7.900;MWSC 1414, Alessi 34                                                                                              ;
Collinder 173                 ;Pup  ;08 02 49.0 -46 22 59.9;Op    ;OB   ;  370.00;   421; 0.050; 7.142;MWSC 1422, Vel OB2                                                                                                ;Coincides with Vel OB2
NGC 2527                      ;Pup  ;08 05 06.0 -28 10 12.0;Op    ;OC   ;   40.80;   642; 0.040; 8.910;MWSC 1428                                                                                                         ;
Collinder 21                  ;Tri  ;01 50 09.6 +27 06 54.0;Op    ;OCR  ;   43.20;  1400; 0.200; 9.390;MWSC 143                                                                                                          ;Dias: asterism, NKh: very sparse OCR
ESO 430-18                    ;Pup  ;08 07 02.9 -30 50 06.0;Op    ;OC   ;   34.80;   871; 0.000; 8.880;MWSC 1431                                                                                                         ;
NGC 2547                      ;Vel  ;08 09 54.7 -49 12 18.0;Op    ;OC   ;   36.00;   361; 0.040; 7.890;MWSC 1437                                                                                                         ;
NGC 2539                      ;Pup  ;08 10 40.8 -12 50 24.0;Op    ;OC   ;   52.80;  1232; 0.150; 8.740;MWSC 1439                                                                                                         ;
NGC 2546                      ;Pup  ;08 11 50.9 -37 36 36.0;Op    ;OC   ;   67.80;   935; 0.150; 8.140;MWSC 1447                                                                                                         ;
Ruprecht 56                   ;Pup  ;08 12 39.6 -40 29 06.0;Op    ;OC   ;   36.60;   429; 0.120; 8.750;MWSC 1452                                                                                                         ;
NGC 2548                      ;Hya  ;08 13 44.4 -05 46 12.0;Op    ;OC   ;   86.40;   789; 0.040; 8.720;MWSC 1454, M 48?                                                                                                  ;Its uncertain whether NGC 2548 is or is not M 48
BH 23                         ;Pup  ;08 13 58.8 -36 20 02.4;Op    ;OB?  ;   38.40;   414; 0.050; 7.140;MWSC 1455, Escorial 27                                                                                            ;B-association
ASCC 45                       ;Pup  ;08 15 37.7 -35 38 24.0;Op    ;OB?  ;   12.00;  3001; 0.600; 7.250;MWSC 1460                                                                                                         ;Probably it is a part of Pup OB3
ASCC 46                       ;Vel  ;08 16 22.8 -48 28 12.0;Op    ;OC   ;   22.80;   899; 0.100; 7.800;MWSC 1463                                                                                                         ;
Pup OB3                       ;Pup  ;08 16 56.9 -35 51 57.6;Op    ;OB   ;   40.80;  1768; 1.750; 6.400;MWSC 1464                                                                                                         ;
Stock 4                       ;Per  ;01 53 07.7 +57 00 36.0;Op    ;OC   ;   25.20;   900; 0.050; 8.600;MWSC 147                                                                                                          ;
ESO 245-9                     ;Phe  ;01 53 43.0 -45 55 12.0;Op    ;OCR  ;   44.40;  1380; 0.310; 9.060;MWSC 148                                                                                                          ;Very sparse, poor RDP
Collinder 185                 ;Pup  ;08 23 20.4 -36 19 48.0;Op    ;OC   ;   15.60;  1477; 0.250; 8.180;MWSC 1481                                                                                                         ;
Collinder 187                 ;Pup  ;08 24 12.2 -29 10 12.0;Op    ;OCR  ;   12.00;  2187; 0.310; 8.920;MWSC 1483                                                                                                         ;Poor RDP
NGC 2609                      ;Car  ;08 29 31.9 -61 06 00.0;Op    ;OC   ;   10.20;  1481; 0.460; 8.480;MWSC 1495                                                                                                         ;
BH 34                         ;Vel  ;08 31 12.0 -44 30 18.0;Op    ;OC   ;   18.00;   950; 0.030; 8.480;MWSC 1497                                                                                                         ;
ASCC 47                       ;Vel  ;08 31 47.3 -39 03 18.0;Op    ;OC   ;   33.60;   780; 0.130; 7.880;MWSC 1500, Alessi-Teutsch 7, Alessi J0831.7-3904                                                                  ;
FSR 1411                      ;Vel  ;08 34 22.8 -43 51 36.0;IR    ;OC   ;   24.00;   912; 0.630; 7.500;MWSC 1505                                                                                                         ;
ASCC 48                       ;Vel  ;08 34 38.9 -37 37 48.0;Op    ;OC   ;   20.40;   550; 0.000; 9.190;MWSC 1506                                                                                                         ;
Pismis 4                      ;Vel  ;08 34 40.8 -44 29 42.0;Op    ;OC   ;   18.00;   575; 0.010; 8.160;MWSC 1507                                                                                                         ;
NGC 752                       ;And  ;01 57 05.3 +37 47 24.0;Op    ;OC   ;  168.00;   450; 0.040; 9.130;MWSC 151                                                                                                          ;
Ruprecht 64                   ;Vel  ;08 37 04.8 -40 11 06.0;Op    ;OC   ;   54.00;   619; 0.130; 8.450;MWSC 1515                                                                                                         ;
Pismis 5                      ;Vel  ;08 37 39.6 -39 34 48.0;Op    ;OC   ;   16.20;   702; 0.830; 7.300;MWSC 1516                                                                                                         ;
[BDS2003] 103                 ;Cas  ;01 57 19.7 +63 29 24.0;IR    ;OC   ;   46.80;  2400; 2.300; 6.590;MWSC 152, IRAS 01546+6319 St Gr                                                                                   ;
Ruprecht 65                   ;Vel  ;08 39 16.1 -44 04 12.0;Op    ;OCR  ;   18.60;   786; 0.070; 8.820;MWSC 1522                                                                                                         ;
NGC 2632                      ;Cnc  ;08 40 22.8 +19 41 24.0;Op    ;OC   ;  372.00;   187; 0.010; 8.920;MWSC 1527, M 44, Beehive, Praesepe                                                                                ;
IC 2391                       ;Vel  ;08 40 15.6 -53 01 40.8;Op    ;OC   ;   93.00;   165; 0.050; 8.050;MWSC 1529, Escorial 31                                                                                            ;
NGC 744                       ;Per  ;01 58 34.6 +55 28 40.8;Op    ;OC   ;   41.40;  1382; 0.380; 8.380;MWSC 153                                                                                                          ;
Mamajek 1                     ;Cha  ;08 41 52.8 -79 02 42.0;Op    ;OC   ;   50.40;   112; 0.000; 6.990;MWSC 1535, Eta Cha Cl                                                                                             ;
IC 2395                       ;Vel  ;08 42 36.0 -48 07 58.8;Op    ;OC   ;   27.60;   701; 0.150; 7.270;MWSC 1537, BH 47, Escorial 32                                                                                     ;
NGC 743                       ;Cas  ;01 58 37.2 +60 09 25.2;Op    ;OC   ;   20.40;  1100; 0.450; 8.290;MWSC 154                                                                                                          ;
Collinder 197                 ;Vel  ;08 44 50.9 -41 13 58.8;Op    ;OC   ;   26.40;   881; 0.550; 7.200;MWSC 1551                                                                                                         ;
Collinder 196                 ;Pyx  ;08 45 01.7 -31 37 30.0;Op    ;OC   ;   21.60;  1393; 0.250; 9.260;MWSC 1552                                                                                                         ;
ASCC 7                        ;Cas  ;01 59 06.0 +58 55 30.0;Op    ;OC   ;   21.60;  2000; 0.450; 7.400;MWSC 156                                                                                                          ;
Vel OB1 B                     ;Vel  ;08 51 06   -45 56 00  ;Op    ;OB   ;   66.00;  1410;      ;      ;MWSC 1560                                                                                                         ;
Vel OB1 A                     ;Vel  ;08 39 48   -45 58 00  ;Op    ;OB   ;   90.00;  1430;      ;      ;MWSC 1560                                                                                                         ;
Vel OB1 C                     ;Vel  ;08 43 30   -48 13 00  ;Op    ;OB   ;  119.00;   700;      ;      ;MWSC 1560                                                                                                         ;
NGC 2669                      ;Vel  ;08 46 28.1 -52 56 24.0;Op    ;OC   ;   33.00;  1057; 0.250; 8.410;MWSC 1561, Harvard 3                                                                                              ;
BH 52                         ;Vel  ;08 46 30   -52 54 00  ;Op    ;OC   ;    6.00;   978; 0.150; 8.200;MWSC 1562                                                                                                         ;
Trumpler 10                   ;Vel  ;08 47 29.3 -42 24 00  ;Op    ;OC   ;   46.80;   417; 0.030; 7.380;MWSC 1567, Escorial 33                                                                                            ;
ASCC 49                       ;Vel  ;08 47 50.9 -38 00 00.0;Op    ;OC   ;   32.40;   629; 0.020; 7.900;MWSC 1569, Teutsch 38                                                                                             ;
NGC 2666                      ;Lyn  ;08 49 47.0 +44 42 11.9;Op    ;OC   ;   11.00;   860; 0.030; 9.510;MWSC 1576                                                                                                         ;
NGC 2678                      ;Cnc  ;08 50 02.0 +11 20 17.9;Op    ;OC   ;   13.00;   900; 0.030; 9.360;MWSC 1577                                                                                                         ;
ASCC 50                       ;Vel  ;08 50 22.1 -41 43 12.0;Op    ;OC   ;   30.00;   846; 0.230; 7.800;MWSC 1579, Alessi 43                                                                                              ;
NGC 2682                      ;Cnc  ;08 51 23.3 +11 48 54.0;Op    ;OC   ;  123.60;   890; 0.050; 9.540;MWSC 1585, M 67                                                                                                   ;
BH 56                         ;Vel  ;08 57 07.2 -43 17 06.0;Op    ;OC   ;   15.00;   737; 0.200; 7.300;MWSC 1605                                                                                                         ;
Collinder 205                 ;Vel  ;09 00 32.4 -48 59 24.0;Op    ;OC   ;   16.80;  1458; 0.870; 7.030;MWSC 1613, Markarian 18                                                                                           ;
ESO 165-9                     ;Vel  ;09 05 24.0 -55 56 16.8;Op    ;OC   ;   19.20;   656; 0.050; 8.920;MWSC 1625                                                                                                         ;
[PLK98] 11                    ;Car  ;09 07 30.0 -59 09 36.0;Op    ;OC   ;  180.00;   141; 0.000; 7.750;MWSC 1629, Platais 8                                                                                              ;
Stock 5                       ;Cas  ;02 04 32.4 +64 21 18.0;Op    ;OC   ;   28.80;  1100; 0.490; 7.700;MWSC 163                                                                                                          ;
ESO 166-4                     ;Vel  ;09 10 30.0 -53 53 24.0;Op    ;OC   ;   17.20;   978; 0.150; 8.260;MWSC 1633                                                                                                         ;
[PLK98] 12                    ;Vel  ;09 11 49.2 -43 31 48.0;Op    ;OC   ;  252.00;   200; 0.000; 8.090;MWSC 1639, Platais 9                                                                                              ;
NGC 2818                      ;Pyx  ;09 16 12.0 -36 36 54.0;Op    ;OC   ;   32.40;  2054; 0.120; 9.160;MWSC 1644                                                                                                         ;
[DBSB2003] 36                 ;Vel  ;09 16 48.0 -47 56 42.0;IR    ;OC   ;   15.60;   748; 2.270; 7.500;MWSC 1645                                                                                                         ;
ASCC 51                       ;Car  ;09 18 05.3 -69 41 24.0;Op    ;OC   ;   54.00;   496; 0.100; 8.540;MWSC 1647                                                                                                         ;
ASCC 52                       ;Vel  ;09 27 59.3 -54 15 00.0;Op    ;OC   ;   16.80;  2200; 0.900; 7.950;MWSC 1672                                                                                                         ;
[BDS2003] 104                 ;Cas  ;02 08 07.7 +60 45 00.0;IR    ;OC   ;   32.40;  2735; 1.140; 6.250;MWSC 168, AFGL 5066 Cl, IRAS 02044+6031 Cl, [BDSB2003] 162                                                        ;
Turner 5                      ;Ant  ;09 33 16.1 -36 24 36.0;Op    ;OC   ;  108.00;   400; 0.100; 8.490;MWSC 1684, COCD 223                                                                                               ;
FSR 1391                      ;Ant  ;09 32 50.9 -28 50 52.8;IR    ;OCR  ;   31.20;  1753; 0.560; 8.400;MWSC 1685                                                                                                         ;Sparse, poor RDP
NGC 2925                      ;Vel  ;09 33 08.6 -53 22 15.6;Op    ;OC   ;   32.40;   774; 0.080; 7.810;MWSC 1686                                                                                                         ;
ASCC 53                       ;Car  ;09 38 09.6 -59 27 36.0;Op    ;OC   ;   31.80;  1786; 0.750; 8.000;MWSC 1697                                                                                                         ;
NGC 2995                      ;Vel  ;09 44 04   -54 46 48  ;Op    ;OC   ;    7.00;   380; 1.940; 7.700;MWSC 1707                                                                                                         ;
ASCC 54                       ;Vel  ;09 44 47.3 -54 26 06.0;Op    ;OC   ;   21.60;  1751; 0.100; 8.870;MWSC 1709                                                                                                         ;
FSR 1451                      ;Ant  ;09 47 36.5 -37 03 18.0;IR    ;OCR  ;   13.80;  1470; 0.510; 8.500;MWSC 1713                                                                                                         ;Sparse, poor RDP
Ruprecht 84                   ;Car  ;09 49 08.4 -65 14 24.0;Op    ;OC   ;   21.60;  1546; 0.170; 8.560;MWSC 1717                                                                                                         ;
NGC 3036                      ;Car  ;09 49 15.6 -62 40 12.0;Op    ;OC   ;   16.80;  1268; 0.420; 8.990;MWSC 1719                                                                                                         ;
ASCC 55                       ;Vel  ;09 54 00.0 -57 04 37.2;Op    ;OC   ;   33.00;   970; 0.210; 8.450;MWSC 1724                                                                                                         ;
Collinder 213                 ;Vel  ;09 54 43.2 -50 55 30.0;Op    ;OC   ;   19.20;  1464; 0.070; 8.870;MWSC 1725                                                                                                         ;
Stock 2                       ;Cas  ;02 14 38.4 +59 26 24.0;Op    ;OC   ;  204.00;   400; 0.340; 8.440;MWSC 173, Per OB 1 B                                                                                              ;
NGC 3114                      ;Car  ;10 01 55.2 -60 06 36.0;Op    ;OC   ;   41.40;   944; 0.080; 8.300;MWSC 1749                                                                                                         ;
NGC 869                       ;Per  ;02 18 57.6 +57 08 42.0;Op    ;OC   ;   64.20;  2300; 0.520; 7.280;MWSC 175                                                                                                          ;
Loden 1                       ;Vel  ;10 05 13.9 -55 48 18.0;Op    ;OC   ;   11.20;   786; 0.220; 8.300;MWSC 1758                                                                                                         ;
Trumpler 12                   ;Car  ;10 06 32.4 -60 18 00  ;Op    ;OC   ;   19.20;  1435; 0.050; 9.210;MWSC 1763                                                                                                         ;
Hogg 6                        ;Car  ;10 06 36.0 -60 30 00.0;Op    ;OC   ;   13.20;  1412; 0.160; 8.510;MWSC 1766                                                                                                         ;
FSR 1467                      ;Ant  ;10 07 44.4 -36 29 34.8;IR    ;OC   ;   23.40;  1606; 0.380; 9.000;MWSC 1770                                                                                                         ;
ASCC 56                       ;Car  ;10 08 18.5 -64 22 48.0;Op    ;OC   ;   38.40;   797; 0.140; 8.640;MWSC 1772                                                                                                         ;
Ruprecht 161                  ;Car  ;10 09 10.8 -61 15 36.0;Op    ;OC   ;   28.80;   976; 0.170; 8.450;MWSC 1773                                                                                                         ;
ASCC 57                       ;Car  ;10 10 55.2 -66 42 00.0;Op    ;OC   ;   25.80;  1483; 0.210; 9.260;MWSC 1776                                                                                                         ;
Bochum 8                      ;Car  ;10 12 10.8 -58 03 36.0;Op    ;OC   ;   12.60;  1928; 0.540; 8.470;MWSC 1778, BH 90                                                                                                  ;
ASCC 58                       ;Vel  ;10 15 01.7 -54 58 12.0;Op    ;OC   ;   37.20;   564; 0.140; 7.200;MWSC 1782                                                                                                         ;
BH 91                         ;Car  ;10 16 58.8 -58 41 42.0;Op    ;OC   ;   18.00;   749; 0.080; 8.350;MWSC 1787                                                                                                         ;
