Cluster's Name                ;Const;Coordinates (J2000.0) ;Wavel ;Type ;Dia_arcM;Dst_pc;E(B-V);Log_t ;Aliases/Variants                                                                                                  ;Comments
ASCC 3                        ;Cas  ;00 31 04.8 +55 16 30.0;Op    ;OB?  ;   28.80;  1550; 0.250; 7.730;MWSC 54                                                                                                           ;Resembles a B-association
Collinder 65                  ;Ori  ;05 26 06.0 +15 40 12.0;Op    ;OC   ;  180.00;   325; 0.140; 8.070;MWSC 540, Verhaege 3                                                                                              ;
ASCC 18                       ;Ori  ;05 26 14.9 +00 54 00.0;Op    ;OC   ;   52.80;   313; 0.060; 7.150;MWSC 541                                                                                                          ;
Mamajek 3                     ;Ori  ;05 26 00.5 +06 19 48.0;Op    ;OC   ;  264.00;    95; 0.000; 7.500;MWSC 544, 32 Ori Cl                                                                                               ;
FSR 777                       ;Aur  ;05 27 37.0 +34 44 52.8;IR    ;OC   ;   15.60;  1173; 0.480; 7.000;MWSC 546, Lin-Chen 68                                                                                             ;
ASCC 19                       ;Ori  ;05 27 41.3 -01 57 54.0;Op    ;OC   ;   62.40;   314; 0.050; 7.500;MWSC 547, Escorial 4, Eta Ori Cl                                                                                  ;
Dolidze 20                    ;Aur  ;05 27 44.9 +33 47 06.0;Op    ;OC   ;   15.00;   797; 0.290; 7.400;MWSC 548                                                                                                          ;
Aur OB2                       ;Aur  ;05 28 02   +34 38 40  ;Op    ;OB   ;   36.00;  2680;      ;      ;MWSC 549                                                                                                          ;Multicenter association
NGC 133                       ;Cas  ;00 31 16.6 +63 20 42.0;Op    ;OC   ;    9.60;  1861; 0.630; 7.300;MWSC 55                                                                                                           ;
Waterloo 2                    ;Aur  ;05 28 01.9 +40 21 07.2;Op    ;OC   ;   22.80;   550; 0.170; 8.330;MWSC 551                                                                                                          ;
NGC 1907                      ;Aur  ;05 28 10.93+35 20 26.6;Op    ;OC   ;   25.20;  1600; 0.500; 8.600;MWSC 552, Lin-Chen 62                                                                                             ;
Stock 8                       ;Aur  ;05 28 07.74+34 25 28.5;Op    ;OC   ;   33.60;  1731; 0.600; 7.050;MWSC 553, Lin-Chen 75                                                                                             ;
ASCC 20                       ;Ori  ;05 28 45.4 +01 38 24.0;Op    ;OC   ;   87.00;   394; 0.060; 7.000;MWSC 556                                                                                                          ;
NGC 1912                      ;Aur  ;05 28 51.6 +35 48 00  ;Op    ;OC   ;   46.80;  1144; 0.330; 8.350;MWSC 557, M 38                                                                                                    ;
ASCC 21                       ;Ori  ;05 29 02.4 +03 33 36.0;Op    ;OB?  ;  102.00;   379; 0.030; 7.110;MWSC 558                                                                                                          ;Sparse, probably B-association
Aur OB1                       ;Aur  ;05 30 00   +34 02 00  ;Op    ;OB   ;   90.00;  1360;      ;      ;MWSC 562                                                                                                          ;Very large multicenter association
NGC 1931                      ;Aur  ;05 31 22.8 +34 13 58.8;Op    ;OC   ;   19.20;  3001; 0.740; 7.060;MWSC 564, Stock 9, [PES2012] 2                                                                                    ;
[BDS2003] 184                 ;Ori  ;05 31 56.9 +12 24 36.0;IR    ;OC   ;   38.40;   772; 0.500; 6.000;MWSC 568, B 30 T St Gr                                                                                            ;
Dol-Dzim 3                    ;Tau  ;05 33 34.1 +26 28 08.4;Op    ;OC   ;    7.20;  2241; 0.770; 8.920;MWSC 575                                                                                                          ;
NGC 1981                      ;Ori  ;05 35 06.0 -04 25 12.0;Op    ;OC   ;   26.40;   388; 0.170; 7.110;MWSC 579, Upper Sword, Walker 1                                                                                   ;
Collinder 69                  ;Ori  ;05 35 20.4 +09 49 48.0;Op    ;OC   ;   64.20;   411; 0.090; 6.760;MWSC 580, Ori OB1 A                                                                                               ;
NGC 1976                      ;Ori  ;05 35 18.5 -05 21 36.0;Op    ;OC   ;   52.20;   458; 0.290; 6.000;MWSC 582, Trapezium, M 42, ONC, OCl-528, OMC-3 St Gr, [BDS2003] 215, Walker 4, Escorial 5, Ori II, Ori T2         ;
Ori OB1 C                     ;Ori  ;05 35 27.3 -05 32 08  ;Op    ;OB   ;  200.00;   660;      ;      ;MWSC 584                                                                                                          ;Multicenter association, contains Orion Sword
NGC 1980                      ;Ori  ;05 35 27.6 -05 54 54.0;Op    ;OC   ;   27.60;   520; 0.060; 6.670;MWSC 586, Lower Sword, Walker 5                                                                                   ;
NGC 1977                      ;Ori  ;05 35 32.9 -04 49 48.0;Op    ;OC   ;   28.20;   358; 0.100; 6.600;MWSC 587, Walker 2                                                                                                ;
NGC 146                       ;Cas  ;00 32 54.2 +63 18 18.0;Op    ;OC   ;   19.20;  2800; 0.600; 7.700;MWSC 59                                                                                                           ;
Collinder 70                  ;Ori  ;05 35 47.3 +00 52 48.0;Op    ;OB   ;  105.60;   379; 0.100; 7.400;MWSC 591, Escorial 6                                                                                              ;
Dol-Dzim 4                    ;Tau  ;05 35 50.2 +25 57 00.0;Op    ;OC   ;   18.60;  1658; 1.250; 8.460;MWSC 592                                                                                                          ;
NGC 1960                      ;Aur  ;05 36 19.7 +34 09 28.8;Op    ;OC   ;   31.20;  1200; 0.250; 7.570;MWSC 594, M 36                                                                                                    ;
[BDS2003] 220                 ;Ori  ;05 36 24   -06 24 56  ;IR    ;OC   ;   27.60;   314; 0.040; 7.200;MWSC 597, Morgan 8 IR Cl                                                                                          ;
FSR 807                       ;Aur  ;05 36 38.4 +31 50 24.0;IR    ;OC   ;   19.80;  1750; 1.150; 7.000;MWSC 599                                                                                                          ;
Cep OB4                       ;Cep  ;00 02 56.4 +67 30 00.0;Op    ;OB   ;   91.20;   850; 1.100; 6.100;MWSC 6                                                                                                            ;
[BDS2003] 222                 ;Ori  ;05 37 54.0 -06 57 21.6;IR    ;OC   ;   11.40;   636; 2.120; 6.600;MWSC 607, KMS 35 IR Cl, V592 Ori IR Cl                                                                            ;
Sigma Ori Cl                  ;Ori  ;05 38 43.7 -02 36 00.0;Op    ;OC   ;   48.00;   390; 0.150; 6.100;MWSC 612, Escorial 7, Ori III, Ori T3                                                                             ;
Stock 10                      ;Aur  ;05 39 14.4 +37 48 18.0;Op    ;OC   ;   49.80;   500; 0.080; 8.420;MWSC 616                                                                                                          ;
NGC 189                       ;Cas  ;00 39 28.8 +61 06 54.0;Op    ;OC   ;   14.40;  1300; 0.700; 8.710;MWSC 62                                                                                                           ;
Stock 24                      ;Cas  ;00 39 45.6 +61 57 54.0;Op    ;OC   ;   17.40;  2400; 0.550; 7.990;MWSC 63, Berkeley 3                                                                                               ;
FSR 874                       ;Tau  ;05 40 58.1 +20 21 21.6;IR    ;OC   ;   14.20;   912; 0.630; 8.860;MWSC 635, SAI 53                                                                                                  ;
[LDEG91] 1                    ;Ori  ;05 41 39   -02 15 40  ;IR    ;OC   ;    4.00;   400;      ;      ;MWSC 640, NGC 2023 IR Cl, [BDS2003] 206                                                                           ;
[LDEG91] 2                    ;Ori  ;05 41 43   -01 50 30  ;IR    ;OC   ;   17.00;   400;      ;      ;MWSC 641, NGC 2024 IR Cl, [BDS2003] 203                                                                           ;
[BDS2003] 227                 ;Ori  ;05 42 28.8 -08 09 00.0;IR    ;OC   ;   49.20;   497; 2.080; 6.620;MWSC 647, LDN 1641 S Cl                                                                                           ;
[BDS2003] 193                 ;Ori  ;05 43 41.0 +09 05 42.0;IR    ;OC   ;   66.00;   612; 0.210; 8.920;MWSC 656, B 35 T St Gr                                                                                            ;
NGC 2061                      ;Col  ;05 44 06.0 -33 56 06.0;Op    ;OC   ;   18.00;   542; 0.030; 9.320;MWSC 660                                                                                                          ;
[LDEG91] 3                    ;Ori  ;05 46 42.5 +00 06 00.0;Op    ;OC   ;   16.80;   747; 3.520; 6.450;MWSC 664, M 78 IR Cl, NGC 2068 IR Cl, [BDS2003] 202                                                               ;
[LDEG91] 4                    ;Ori  ;05 47 09.8 +00 18 00.0;Op    ;OC   ;   16.80;   953; 3.120; 6.550;MWSC 665, NGC 2071 IR Cl, [BDS2003] 201                                                                           ;
Collinder 74                  ;Ori  ;05 48 35.3 +07 22 48.0;Op    ;OC   ;   21.60;  2637; 0.600; 9.090;MWSC 673                                                                                                          ;
NGC 225                       ;Cas  ;00 43 12.0 +61 46 55.2;Op    ;OC   ;   21.60;   850; 0.600; 8.190;MWSC 68                                                                                                           ;
Alessi 64                     ;Lep  ;05 51 41.3 -12 13 12.0;Op    ;OCR  ;   15.60;  2268; 1.000; 8.250;MWSC 681, FSR 1123                                                                                                ;
NGC 2099                      ;Aur  ;05 52 20.9 +32 34 12.0;Op    ;OC   ;   58.20;  1400; 0.350; 8.550;MWSC 689, M 37                                                                                                    ;
NGC 2112                      ;Ori  ;05 53 43.7 +00 24 46.8;Op    ;OC   ;   74.40;   977; 0.630; 9.320;MWSC 692                                                                                                          ;
Blanco 1                      ;Scl  ;00 03 32.4 -30 00 00.0;Op    ;OC   ;  282.00;   250; 0.010; 7.750;MWSC 7, Zeta Scl Cl                                                                                               ;
Koposov 12                    ;Aur  ;06 01 02.6 +35 16 37.2;Op    ;OC   ;   18.60;  1900; 0.450; 8.910;MWSC 701, FSR 802                                                                                                 ;
NGC 2126                      ;Aur  ;06 02 35.5 +49 52 19.2;Op    ;OC   ;   27.00;  1100; 0.050; 9.450;MWSC 708, FSR 730                                                                                                 ;
ESO 489-1                     ;Lep  ;06 05 00.5 -26 43 58.8;Op    ;OCR? ;   18.60;   981; 0.440; 8.850;MWSC 724                                                                                                          ;
[BDS2003] 229                 ;Mon  ;06 07 10.8 -06 03 54.0;IR    ;OC   ;   18.60;   799; 0.580; 8.530;MWSC 732, IRAS 06046-0603 Cl                                                                                      ;
Mon R2                        ;Mon  ;06 07 47.8 -06 22 55  ;Op    ;OB   ;        ;   830; 0.57 ;      ;MWSC 738                                                                                                          ;
NGC 188                       ;Cep  ;00 47 24.0 +85 15 18.0;Op    ;OC   ;   68.40;  2000; 0.090; 9.650;MWSC 74                                                                                                           ;
NGC 2168                      ;Gem  ;06 09 12.5 +24 21 36.0;Op    ;OC   ;  117.60;   830; 0.260; 8.260;MWSC 754, M 35                                                                                                    ;
[PLK98] 6                     ;CMa  ;06 14 42.0 -22 30 00.0;Op    ;OC   ;  248.40;   272; 0.000; 7.780;MWSC 763, Platais 5                                                                                               ;
Collinder 84                  ;Ori  ;06 09 41.3 +20 30 18.0;Op    ;OC   ;   18.00;  1636; 0.560; 7.000;MWSC 764                                                                                                          ;This is not NGC 2175
NGC 2183                      ;Mon  ;06 10 48.0 -06 12 00.0;Op    ;OC   ;   46.80;  1047; 0.630; 7.150;MWSC 779                                                                                                          ;
FSR 516                       ;Cas  ;00 50 32.9 +65 57 54.0;IR    ;OC   ;   20.40;   810; 2.040; 8.830;MWSC 78                                                                                                           ;
NGC 2165                      ;Aur  ;06 11 04.0 +51 40 36.1;Op    ;OC   ;   10.00;  1445; 0.230; 9.180;MWSC 783                                                                                                          ;
NGC 2184                      ;Ori  ;06 11 18.5 -03 25 12.0;Op    ;OC   ;   21.60;   621; 0.100; 8.600;MWSC 784                                                                                                          ;
Gem OB1                       ;Gem  ;06 12 37   +22 14 20  ;Op    ;OB   ;  132.00;  1340;      ;      ;MWSC 806                                                                                                          ;
FSR 1120                      ;Mon  ;06 14 02.4 -09 22 30.0;IR    ;OC   ;   16.80;   830; 3.120; 7.300;MWSC 807                                                                                                          ;
Cas OB7                       ;Cas  ;00 49 51.6 +64 08 24.0;Op    ;OB   ;   32.40;  2600; 2.100; 7.700;MWSC 81                                                                                                           ;
ASCC 22                       ;Ori  ;06 14 31.2 +00 39 36.0;Op    ;OC   ;   24.60;   771; 0.200; 8.460;MWSC 813, Ferrero 11                                                                                              ;
[PLK98] 8                     ;Ori  ;06 15 03.6 +03 51 00.0;Op    ;OC   ;  156.00;   347; 0.000; 7.960;MWSC 821, Platais 6                                                                                               ;
FSR 519                       ;Cas  ;00 52 29.3 +64 40 01.2;IR    ;OC   ;   16.80;  1517; 0.700; 7.350;MWSC 83                                                                                                           ;
Collinder 89                  ;Gem  ;06 19 12.0 +23 21 00.0;Op    ;OC   ;   31.20;  1021; 0.480; 7.830;MWSC 838                                                                                                          ;
ASCC 23                       ;Aur  ;06 20 21.4 +46 40 30.0;Op    ;OC   ;   45.00;   600; 0.100; 8.490;MWSC 839, FSR 746                                                                                                 ;
NGC 2215                      ;Mon  ;06 20 52.8 -07 17 42.0;Op    ;OC   ;   39.00;  1141; 0.350; 8.550;MWSC 843                                                                                                          ;
Collinder 91                  ;Mon  ;06 21 50.4 +02 22 26.4;Op    ;OC   ;   30.60;  1467; 0.520; 8.640;MWSC 844                                                                                                          ;
IC 1590                       ;Cas  ;00 52 48.0 +56 37 48.0;Op    ;OC   ;   27.60;  2400; 0.400; 6.900;MWSC 85                                                                                                           ;
Collinder 92                  ;Mon  ;06 22 55.2 +05 06 00  ;Op    ;OC   ;   25.80;  2670; 0.520; 9.150;MWSC 850                                                                                                          ;
ASCC 4                        ;Cas  ;00 53 16.8 +61 36 00.0;Op    ;OC   ;   25.20;   550; 0.250; 8.650;MWSC 87                                                                                                           ;
NGC 2232                      ;Mon  ;06 27 57.6 -04 47 42.0;Op    ;OC   ;   45.60;   330; 0.030; 7.700;MWSC 871, Escorial 8                                                                                              ;
